date,open,high,low,close,tick_volume,volume,spread
2020.01.02,96.401,96.874,96.401,96.801,39806,0,0
2020.01.03,96.801,97.103,96.706,96.88,47869,0,0
2020.01.05,96.851,96.86,96.802,96.86,2010,0,0
2020.01.06,96.861,96.895,96.536,96.633,39485,0,0
2020.01.07,96.634,97.09,96.617,96.895,45731,0,0
2020.01.08,96.894,97.345,96.792,97.268,59413,0,0
2020.01.09,97.268,97.559,97.243,97.408,40925,0,0
2020.01.10,97.407,97.585,97.291,97.363,36168,0,0
2020.01.12,97.363,97.417,97.363,97.409,1702,0,0
2020.01.13,97.409,97.531,97.3,97.39,32803,0,0
2020.01.14,97.391,97.573,97.316,97.37,38422,0,0
2020.01.15,97.371,97.441,97.155,97.2,34308,0,0
2020.01.16,97.201,97.362,97.075,97.298,32977,0,0
2020.01.17,97.299,97.654,97.257,97.613,31854,0,0
2020.01.19,97.625,97.646,97.604,97.617,1569,0,0
2020.01.20,97.618,97.728,97.575,97.596,21519,0,0
2020.01.21,97.597,97.656,97.389,97.605,35018,0,0
2020.01.22,97.605,97.686,97.431,97.474,35966,0,0
2020.01.23,97.475,97.8,97.404,97.693,39752,0,0
2020.01.24,97.693,97.945,97.653,97.868,35849,0,0
2020.01.26,97.868,97.868,97.779,97.849,2829,0,0
2020.01.27,97.85,97.997,97.797,97.935,35435,0,0
2020.01.28,97.935,98.158,97.902,97.965,31841,0,0
2020.01.29,97.966,98.187,97.927,98.02,31557,0,0
2020.01.30,98.02,98.073,97.788,97.881,40993,0,0
2020.01.31,97.882,97.967,97.375,97.38,37775,0,0
2020.02.02,97.382,97.436,97.36,97.42,2210,0,0
2020.02.03,97.421,97.901,97.421,97.8,40189,0,0
2020.02.04,97.801,98.008,97.784,97.939,36070,0,0
2020.02.05,97.939,98.321,97.897,98.261,38291,0,0
2020.02.06,98.261,98.573,98.192,98.458,33175,0,0
2020.02.07,98.459,98.706,98.415,98.684,37514,0,0
2020.02.09,98.694,98.711,98.644,98.655,1518,0,0
2020.02.10,98.656,98.882,98.597,98.861,32217,0,0
2020.02.11,98.861,98.961,98.706,98.751,32668,0,0
2020.02.12,98.752,99.05,98.701,98.967,33399,0,0
2020.02.13,98.967,99.107,98.851,99.08,38068,0,0
2020.02.14,99.081,99.166,98.99,99.12,29896,0,0
2020.02.16,99.125,99.125,99.084,99.091,1685,0,0
2020.02.17,99.091,99.207,99.039,99.143,22385,0,0
2020.02.18,99.144,99.478,99.133,99.44,38365,0,0
2020.02.19,99.442,99.721,99.371,99.563,37035,0,0
2020.02.20,99.563,99.909,99.518,99.857,49422,0,0
2020.02.21,99.857,99.876,99.224,99.328,45278,0,0
2020.02.23,99.443,99.471,99.385,99.419,2717,0,0
2020.02.24,99.42,99.653,99.108,99.326,57426,0,0
2020.02.25,99.327,99.389,98.876,99.0,61550,0,0
2020.02.26,99.001,99.268,98.908,99.114,66098,0,0
2020.02.27,99.115,99.123,98.354,98.435,79188,0,0
2020.02.28,98.435,98.662,97.954,98.103,99149,0,0
2020.03.01,98.002,98.037,97.832,97.964,4030,0,0
2020.03.02,97.965,98.085,97.177,97.524,107674,0,0
2020.03.03,97.524,97.698,96.919,97.124,111397,0,0
2020.03.04,97.126,97.599,97.099,97.365,79245,0,0
2020.03.05,97.365,97.441,96.507,96.646,72963,0,0
2020.03.06,96.649,96.714,95.701,96.083,122655,0,0
2020.03.08,95.803,95.803,95.389,95.481,13678,0,0
2020.03.09,95.481,95.692,94.629,95.401,234342,0,0
2020.03.10,95.401,96.605,95.199,96.307,184529,0,0
2020.03.11,96.306,96.698,95.906,96.623,137920,0,0
2020.03.12,96.623,98.335,96.057,97.473,250870,0,0
2020.03.13,97.473,98.815,97.33,98.436,205849,0,0
2020.03.15,98.444,98.444,97.63,97.874,40278,0,0
2020.03.16,97.874,98.469,97.438,98.12,194918,0,0
2020.03.17,98.121,99.836,97.974,99.402,176064,0,0
2020.03.18,99.402,101.762,99.147,100.738,214763,0,0
2020.03.19,100.737,102.984,100.695,102.98,313969,0,0
2020.03.20,102.979,102.993,101.072,102.418,267895,0,0
2020.03.22,102.378,102.981,102.301,102.506,19093,0,0
2020.03.23,102.507,102.821,101.635,102.112,248127,0,0
2020.03.24,102.113,102.215,101.042,101.66,203132,0,0
2020.03.25,101.659,101.928,100.835,100.909,187314,0,0
2020.03.26,100.909,101.019,99.229,99.286,187246,0,0
2020.03.27,99.286,99.821,98.248,98.31,173362,0,0
2020.03.29,98.276,98.61,98.276,98.333,8835,0,0
2020.03.30,98.333,99.315,98.307,99.208,139005,0,0
2020.03.31,99.208,99.95,98.877,98.997,166411,0,0
2020.04.01,98.997,99.839,98.904,99.504,129804,0,0
2020.04.02,99.504,100.407,99.327,100.187,129249,0,0
2020.04.03,100.187,100.853,100.137,100.669,106770,0,0
2020.04.05,100.683,100.789,100.583,100.784,8385,0,0
2020.04.06,100.785,100.932,100.454,100.742,110439,0,0
2020.04.07,100.741,100.788,99.739,99.949,106908,0,0
2020.04.08,99.95,100.431,99.912,100.123,92264,0,0
2020.04.09,100.122,100.297,99.345,99.593,99764,0,0
2020.04.10,99.595,99.619,99.352,99.479,52402,0,0
2020.04.12,99.462,99.509,99.406,99.504,4844,0,0
2020.04.13,99.505,99.628,99.132,99.38,61583,0,0
2020.04.14,99.381,99.424,98.803,98.84,73182,0,0
2020.04.15,98.841,99.976,98.823,99.642,80196,0,0
2020.04.16,99.641,100.304,99.579,99.893,116604,0,0
2020.04.17,99.892,100.292,99.607,99.7,101859,0,0
2020.04.19,99.701,99.84,99.699,99.838,3610,0,0
2020.04.20,99.839,100.075,99.643,99.942,83285,0,0
2020.04.21,99.941,100.482,99.936,100.197,110958,0,0
2020.04.22,100.196,100.496,99.882,100.475,88217,0,0
2020.04.23,100.474,100.692,100.013,100.509,119407,0,0
2020.04.24,100.509,100.867,100.166,100.211,91460,0,0
2020.04.26,100.224,100.275,100.189,100.233,3076,0,0
2020.04.27,100.234,100.315,99.827,100.084,83068,0,0
2020.04.28,100.084,100.208,99.442,99.863,87618,0,0
2020.04.29,99.862,99.876,99.454,99.487,87356,0,0
2020.04.30,99.488,99.738,98.783,99.103,124827,0,0
2020.05.01,99.104,99.21,98.758,99.031,78351,0,0
2020.05.03,99.068,99.272,99.068,99.235,5095,0,0
2020.05.04,99.234,99.597,99.233,99.498,79253,0,0
2020.05.05,99.498,99.975,99.279,99.79,91517,0,0
2020.05.06,99.789,100.213,99.744,100.193,87287,0,0
2020.05.07,100.192,100.401,99.771,99.811,99636,0,0
2020.05.08,99.811,99.943,99.441,99.734,72589,0,0
2020.05.10,99.72,99.862,99.711,99.785,4426,0,0
2020.05.11,99.786,100.279,99.66,100.21,84592,0,0
2020.05.12,100.21,100.441,99.646,100.03,88444,0,0
2020.05.13,100.031,100.272,99.557,100.17,101105,0,0
2020.05.14,100.169,100.562,100.141,100.269,93389,0,0
2020.05.15,100.269,100.492,100.053,100.336,86466,0,0
2020.05.17,100.344,100.415,100.343,100.393,4375,0,0
2020.05.18,100.393,100.465,99.57,99.626,88822,0,0
